SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
935838,905DHFL23A  ,F ,D,1105.10,1105.10,1105.10,1105.10,1105.10,1056.23,1,10,11051.00,
935840,925DHFL23B  ,F ,D,1060.00,1063.00,1060.00,1063.00,1063.00,1061.00,5,100,106240.00,
935854,0IBHFL21    ,F ,D,1061.20,1061.20,1061.20,1061.20,1061.20,1070.01,1,140,148568.00,
935878,1075KFL19   ,F ,D,950.00,1098.00,930.00,1010.00,1010.00,1030.00,7,860,850232.00,
935880,0KFL19B     ,F ,D,1155.00,1155.00,1155.00,1155.00,1155.00,1158.00,4,125,144375.00,
935892,975SIFL19   ,F ,D,998.00,998.15,998.00,998.15,998.15,997.15,8,200,199617.00,
935896,960SIFL21   ,F ,D,1006.00,1092.00,993.00,993.00,993.00,1008.00,3,410,427060.00,
935912,915RHFL27B  ,F ,D,1005.80,1016.00,1005.80,1015.54,1015.54,1005.00,30,1820,1846357.00,
935932,0SEFL20B    ,F ,D,1080.00,1080.00,1080.00,1080.00,1080.00,1098.00,1,50,54000.00,
935948,875MFL20A   ,F ,D,994.00,994.00,994.00,994.00,994.00,994.00,2,43,42742.00,
935994,912SIFL22   ,F ,D,985.00,1000.00,985.00,1000.00,1000.00,1013.30,13,101,100850.00,
935998,0SIFL22     ,F ,D,1074.10,1074.10,1074.10,1074.10,1074.10,1076.00,1,10,10741.00,
936004,875MFL22    ,F ,D,1002.00,1002.00,987.86,1000.00,1000.00,1005.00,4,348,344438.00,
936048,805MMFSL32  ,F ,D,955.10,985.00,955.10,957.06,957.06,962.05,5,74,72429.00,
936052,930SEFL22   ,F ,D,985.00,985.00,985.00,985.00,985.00,955.01,2,16,15760.00,
936080,10KFL22A    ,F ,D,980.00,985.00,980.00,985.00,985.00,985.00,4,490,481425.00,
936112,9SIFL23     ,F ,D,1015.00,1015.00,1015.00,1015.00,1015.00,0.00,2,20,20300.00,
947146,TATA18MAR11 ,F ,D,1085000.00,1085000.00,1085000.00,1085000.00,1085000.00,1084000.00,1,1,1085000.00,
950480,809PFC21    ,F ,D,108983.75,108983.75,108983.75,108983.75,108983.75,107500.00,1,10,1089837.00,
950493,843PFC22    ,F ,D,4825.00,5340.00,4825.00,4860.01,4860.01,4750.00,13,148,753370.00,
950495,843PFC22A   ,F ,D,7900.00,7900.00,7850.00,7850.00,7850.00,7900.00,2,8,63000.00,
953562,ECLA9B606D  ,F ,D,121178.00,121178.00,121178.00,121178.00,121178.00,115988.00,1,40,4847120.00,
954235,1150BOIPER  ,F ,D,998000.00,998000.00,998000.00,998000.00,998000.00,1019250.00,1,1,998000.00,
